test_name,index,runtime_ms
client-store,81,1.7192550003528595
cloud-store,81,0.71696937084198
client-store,82,1.8587009981274605
cloud-store,82,0.7258355617523193
client-store,83,1.8213484436273575
cloud-store,83,0.7534241303801537
client-store,84,1.7715990543365479
cloud-store,84,0.6876634433865547
client-store,85,1.7516408115625381
cloud-store,85,0.6989641115069389
client-store,86,1.8388750031590462
cloud-store,86,0.7269764319062233
client-store,87,1.726643182337284
cloud-store,87,0.7360503077507019
client-store,88,1.6996990889310837
cloud-store,88,0.718352384865284
client-store,89,1.8079634755849838
cloud-store,89,0.7521044462919235
client-store,90,1.7706090584397316
cloud-store,90,0.714622437953949
client-store,91,1.8590092658996582
cloud-store,91,0.7191626355051994
client-store,92,1.831703819334507
cloud-store,92,0.6968742236495018
client-store,93,1.8477123230695724
cloud-store,93,0.7675439119338989
client-store,94,1.772131770849228
cloud-store,94,0.7229484617710114
client-store,95,1.7347708344459534
cloud-store,95,0.7155407220125198
client-store,96,1.8370086327195168
cloud-store,96,0.7813805714249611
client-store,97,1.829751767218113
cloud-store,97,0.7286705076694489
client-store,98,1.7567751929163933
cloud-store,98,0.6834352388978004
client-store,99,1.8261615186929703
cloud-store,99,0.7543768733739853
